Country/Region,2/1/20,3/1/20,4/1/20,5/1/20,6/1/20,8/1/20,9/1/20,10/1/20,11/1/20,12/1/20,1/1/21,2/1/21,3/1/21,4/1/21,5/1/21,6/1/21,7/1/21,8/1/21,9/1/21,10/1/21,11/1/21,12/1/21,1/1/22,2/1/22,3/1/22,4/1/22,5/1/22,6/1/22
Peru,0,0,1323,40459,170039,407492,652037,814829,902503,963605,1015137,1138239,1329805,1561723,1799445,1955469,2057554,2113201,2150006,2177283,2202189,2237842,2301177,3239538,3518721,3547606,3565839,3581524
Philippines,1,3,2311,8772,18638,98232,224264,314079,383113,432925,475820,527272,578381,756199,1046653,1235467,1418337,1597689,2003955,2565487,2790375,2833038,2847486,3569665,3663059,3678598,3685895,3690707
Poland,0,0,2554,13105,24165,46346,67922,93481,379902,999924,1305774,1515889,1711772,2356970,2798617,2872868,2880010,2883029,2889036,2908432,3030151,3569137,4120248,4925270,5680034,5966970,5996748,6007840
Portugal,0,0,8251,25351,32700,51310,58243,76396,144341,300462,420629,726321,804956,822314,836947,849538,882006,970937,1039492,1069975,1091142,1151919,1412936,2718138,3385947,3750596,4041278,4717243
Qatar,0,3,835,14096,58433,110911,118994,125959,132720,139001,144042,151720,164137,180804,206302,217688,222217,226390,232910,236735,239374,243607,251361,340383,357292,361545,364655,369049
Romania,0,3,2460,12567,19398,52111,88593,129658,246663,479634,636201,730056,804090,958918,1056572,1077978,1080823,1083341,1100208,1244555,1655024,1780808,1810342,2256543,2741945,2856491,2894368,2909495
Russia,2,2,2777,114431,414328,843890,997072,1179634,1624648,2302062,3153960,3825739,4209850,4503291,4759902,5022881,5472722,6207513,6838652,7425057,8417305,9500836,10340011,11795059,16257688,17601907,17924145,18067977
Rwanda,0,0,82,249,377,2042,4142,4843,5146,5948,8460,15459,18986,21918,25225,27023,39914,71346,88197,97695,99727,100362,112654,128933,129516,129726,129810,130061
Saint Kitts and Nevis,0,0,8,15,15,17,17,19,19,22,32,38,41,44,45,73,457,594,1121,1965,2675,2786,3043,5446,5530,5549,5566,5746
Saint Lucia,0,0,13,17,18,25,26,27,84,259,353,1411,3390,4245,4560,5072,5302,5610,8322,11573,12573,13017,13640,20942,22712,22959,23394,25777
Saint Vincent and the Grenadines,0,0,1,16,26,54,61,64,75,85,121,901,1628,1750,1864,2044,2227,2291,2348,3563,4995,5562,5850,7929,8311,8335,8419,8717
Samoa,0,0,0,0,0,0,0,0,0,2,2,2,3,3,3,3,3,3,3,3,3,3,3,32,33,2128,9592,13499
San Marino,0,1,236,569,687,716,735,750,958,1612,2384,3025,3716,4738,5066,5090,5092,5143,5331,5440,5547,6084,8202,12884,14414,15345,16437,17124
Sao Tome and Principe,0,0,0,16,484,874,896,911,949,996,1022,1259,1828,2232,2302,2345,2369,2454,2627,3504,3714,3731,3903,5899,5934,5945,5957,5991
Saudi Arabia,0,0,1720,24097,87142,277478,316670,335097,347656,357623,362878,368329,377700,390597,418411,451687,489126,526814,543318,547134,548666,549786,557082,691125,745590,750910,754110,768648
Senegal,0,0,190,1024,3739,10284,13655,15019,15630,16107,19364,26927,34732,38782,40388,41433,43268,63002,72920,73782,73920,73990,75337,85038,85699,85901,85997,86117
Serbia,0,0,1060,9009,11430,25882,31482,33662,48403,183437,339997,397002,462728,605406,690931,712702,716643,722221,766279,949260,1148645,1257025,1300949,1697012,1913861,1978228,2006695,2017703
Seychelles,0,0,8,11,11,114,135,142,154,172,267,1201,2618,4189,5966,11612,15751,18362,20128,21507,22265,23537,24788,37190,39403,40421,42502,44016
Sierra Leone,0,0,2,136,865,1823,2028,2238,2366,2413,2635,3634,3887,3981,4057,4148,5652,6283,6368,6394,6398,6402,7114,7623,7665,7674,7681,7682
Singapore,16,106,1000,17101,35292,52512,56852,57784,58019,58228,58629,59565,59948,60407,61179,62069,62589,65102,67800,99430,200844,266049,279861,359075,748504,1101438,1193250,1306871
